ISO;Score 2026;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
GBR;7945;18;8219;14;7086;10;7697;36;7737;37;8985;43;UE Balkans;Royaume-Uni;United Kingdom;Reino Unido;Reino Unido;??????? ???????;????????;2026;20;2;7889;0,56
CAN;7876;20;8275;12;637;23;8054;27;7829;31;885;53;Amériques;Canada;Canada;Canadá;Canadá ;????;??????;2026;21;1;7875;0,01
AUT;7943;19;7436;23;6501;20;8437;13;7909;26;9431;13;UE Balkans;Autriche;Austria;Austria;Áustria ;??????;?????;2026;22;3;7812;1,31
ESP;7542;29;7126;28;5568;40;8059;26;7905;27;9646;1;UE Balkans;Espagne;Spain;España;Espanha ;???????;???????;2026;23;-6;7735;-1,93
TWN;7544;28;7214;26;5863;36;7597;40;7704;39;9342;17;Asie-Pacifique;Taïwan;Taiwan;Taiwán;Taiwan ;??????;??????;2026;24;-4;7704;-1,6
FRA;7668;25;7707;19;6143;28;7915;31;7738;36;8838;54;UE Balkans;France;France;Francia;França ;?????;??????;2026;25;0;7662;0,06
JAM;7587;26;6476;38;6704;15;7262;47;8185;17;931;21;Amériques;Jamaïque;Jamaica;Jamaica; Jamaica ;???????;????????;2026;26;0;7583;0,04
ZAF;7795;21;7465;22;5976;34;8322;17;8311;15;8901;49;Afrique;Afrique du Sud;South Africa;Sudáfrica;África do Sul ;???? ???????;??????? ?????;2026;27;6;7571;2,24
NAM;7697;23;7263;25;6055;31;8196;22;7652;41;9317;20;Afrique;Namibie;Namibia;Namibia;Namíbia ;???????;???????;2026;28;5;7535;1,62
AUS;7458;33;7563;21;6143;29;671;63;7674;40;92;29;Asie-Pacifique;Australie;Australia;Australia;Austrália ;????????;????????;2026;29;-4;7515;-0,57
CPV;7198;40;6573;36;4961;55;7738;34;7439;44;9278;24;Afrique;Cap-Vert;Cabo Verde;Cabo Verde;Cabo Verde ;????? ??????;??????;2026;30;-10;7498;-3
POL;7552;27;6648;32;6271;24;745;43;815;19;9244;27;UE Balkans;Pologne;Poland;Polonia;Polônia ;??????;??????;2026;31;4;7479;0,73
SUR;732;34;6233;42;6671;16;6806;60;7898;28;8993;41;Amériques;Surinam;Suriname;Surinam;Suriname ;???????;???????;2026;32;-2;7449;-1,29
SVN;7288;36;6889;30;5229;49;8035;28;7222;52;9065;35;UE Balkans;Slovénie;Slovenia;Eslovenia;Eslovênia ;????????;???????;2026;33;-3;7406;-1,18
ARM;6702;50;5593;57;4585;66;7301;45;7386;47;8646;64;EEAC;Arménie;Armenia;Armenia;Armênia ;???????;????????;2026;34;-16;7396;-6,94
MDA;7477;31;6589;35;5992;33;776;33;8151;18;8892;50;EEAC;Moldavie;Moldova;Moldavia;Moldávia ;???????;???????;2026;35;4;7336;1,41
CRI;7235;38;5073;71;5811;37;8334;15;7741;35;9215;28;Amériques;Costa Rica;Costa Rica;Costa Rica;Costa Rica ;?????????;?????????;2026;36;-2;7309;-0,74
FJI;7676;24;7138;27;6374;22;7325;44;8032;22;951;10;Asie-Pacifique;Fidji;Fiji;Fiyi;Ilhas Fiji ;????;????;2026;40;16;712;5,56
SVK;7271;37;535;64;6106;30;7969;30;7947;24;8984;44;UE Balkans;Slovaquie;Slovakia;Eslovaquia;Eslováquia ;????????;???????;2026;38;1;7193;0,78
TLS;7529;30;6364;41;5735;38;821;21;8068;21;9268;25;Asie-Pacifique;Timor oriental;East Timor;Timor Oriental;Timor Leste ;????? ???????;????? ????;2026;39;9;7179;3,5
LBY;4034;138;4646;82;4246;80;4632;130;282;166;3825;148;MENA;Libye;Libya;Libia;Líbia ;?????;????;2026;137;-1;4042;-0,08
GAB;7057;43;6601;33;5495;42;7136;49;7423;45;8631;65;Afrique;Gabon;Gabon;República Gabonesa;Gabão ;???????;?????;2026;41;-2;7065;-0,08
MKD;6949;45;5677;53;474;61;8329;16;7086;55;8914;48;UE Balkans;Macédoine;North Macedonia;República de Macedonia del Norte;Macedônia do Norte ;??????? ????????;??????? ????? ;2026;42;-3;7044;-0,95
DOM;6973;44;5635;56;5141;51;8439;12;815;20;7501;90;Amériques;Rép. Domini.;Dominican Republic;República Dominicana;República Dominicana ;??????? ???????????;?????? ???????;2026;43;-1;6987;-0,14
WSM;6453;59;5132;69;5385;44;5981;86;7205;53;8563;68;Asie-Pacifique;Samoa;Samoa;Samoa;Samoa ;?????;?????;2026;44;-15;6928;-4,75
SYC;7304;35;659;34;6152;27;7019;54;7732;38;9028;38;Afrique;Seychelles;Seychelles;Seychelles;Seychelles ;?????;?????;2026;45;10;6856;4,48
TON;6662;51;5276;65;528;47;593;87;7322;50;9502;11;Asie-Pacifique;Tonga;Tonga;Tonga;Tonga ;?????;?????;2026;46;-5;6839;-1,77
BLZ;6166;66;4992;74;4623;64;602;84;6832;59;8364;78;Amériques;Bélize;Belize;Belice;Belize ;????;????;2026;47;-19;6832;-6,66
CSS;646;57;5501;58;5132;52;5888;90;6706;61;9075;34;Amériques;OÉCO;OECS;OECO;OECO;????????;????? ??????? ????;2026;48;-9;6808;-3,48
ITA;6516;56;5881;50;4872;58;6881;56;6251;77;8692;61;UE Balkans;Italie;Italy;Italia;Itália ;???????;???????;2026;49;-7;6801;-2,85
MRT;6336;61;5744;52;4381;74;6826;58;6255;76;8475;71;Afrique;Mauritanie;Mauritania;Mauritania;Mauritânia ;?????????;????????;2026;50;-11;6752;-4,16
MUS;7092;42;6517;37;5125;53;7091;50;7807;32;892;46;Afrique;Maurice;Mauritius;Mauricio;Maurício ;????????;?????;2026;51;9;6731;3,61
GHA;722;39;69;29;5146;50;8016;29;7327;49;871;60;Afrique;Ghana;Ghana;Ghana;Gana ;????;???;2026;52;13;6713;5,07
PAN;6214;65;5044;73;4667;63;6247;78;6341;73;8771;56;Amériques;Panama;Panama;Panamá;Panamá ;????;??????;2026;53;-12;6675;-4,61
LBR;6454;58;595;47;4212;82;7818;32;7888;29;6405;107;Afrique;Libéria;Liberia;Liberia;Libéria ;???????;??????;2026;54;-4;6661;-2,07
ROU;6771;49;5913;49;4606;65;705;51;7309;51;8976;45;UE Balkans;Roumanie;Romania;Rumania;Romênia ;???????;??????;2026;55;6;6642;1,29
SLE;5706;79;5424;60;3974;96;6275;77;7088;54;577;112;Afrique;Sierra Leone;Sierra Leone;Sierra Leona;Serra Leoa ;????????;?????????;2026;56;-23;6636;-9,3
USA;6261;64;5359;62;5505;41;7047;52;6427;66;6968;98;Amériques;États-Unis;United States;Estados Unidos;Estados Unidos ;???????? ???????;?????? ????? ??????;2026;57;-7;65487;-2,87
GMB;6942;46;5922;48;5313;46;6297;75;8006;23;9173;31;Afrique;Gambie;Gambia;Gambia;Gâmbia ;??????;??????;2026;58;12;65486;3,94
URY;6872;48;612;44;4448;72;7563;41;6943;57;9288;22;Amériques;Uruguay;Uruguay;Uruguay;Uruguai ;????????;???????;2026;59;11;6518;3,54
HRV;6631;53;5661;54;4543;69;7645;37;6488;65;882;55;UE Balkans;Croatie;Croatia;Croacia;Croácia ;???????;??????;2026;60;7;642;2,11
QAT;5979;75;5126;70;526;48;4809;124;5548;104;9154;32;MENA;Qatar;Qatar;Catar;Catar ;???;???;2026;79;4;5825;1,54
UKR;661;55;6838;31;6043;32;7632;39;7788;33;4749;128;EEAC;Ukraine;Ukraine;Ucrania;Ucrânia ;????????;???????;2026;62;7;6393;2,17
BRA;6637;52;6231;43;4953;56;7029;53;6646;63;8327;81;Amériques;Brésil;Brazil;Brasil;Brasil ;????????;?????;2026;63;11;638;2,57
CIV;6627;54;595;46;5601;39;7262;46;7328;48;6992;97;Afrique;Côte d'Ivoire;Côte d'Ivoire;Costa de Marfil;Costa do Marfim ;???? ?????;???? ???;2026;64;10;6369;2,58
AND;6391;60;5658;55;3823;104;6836;57;63;75;934;19;UE Balkans;Andorre;Andorra;Andorra;Andorra ;??????;?????;2026;65;5;633;0,61
JPN;629;62;5187;67;5424;43;6599;68;5381;108;886;52;Asie-Pacifique;Japon;Japan;Japón;Japão ;???????;????;2026;66;4;6314;-0,24
MLT;6144;67;4263;97;4872;59;6497;69;6168;82;892;47;UE Balkans;Malte;Malta;Malta;Malta ;?????;????;2026;67;0;6296;-1,52
HUN;5985;74;3389;128;4498;70;6384;72;7035;56;8617;66;UE Balkans;Hongrie;Hungary;Hungría;Hungria ;?????;????????;2026;68;-6;6282;-2,97
CHL;6084;70;6368;40;4026;93;6074;82;5632;103;8321;82;Amériques;Chili;Chile;Chile;Chile ;?????;????;2026;69;-1;6225;-1,41
BGR;6028;71;4705;80;3946;98;6769;61;6027;90;8691;62;UE Balkans;Bulgarie;Bulgaria;Bulgaria;Bulgária ;???????;?????????;2026;70;-1;6078;-0,5
COG;6121;68;5267;66;4298;76;6285;76;6344;72;8409;76;Afrique;Congo-Brazzaville;Congo-Brazzaville; Congo-Brazzaville;Congo-Brazzaville ;???????–????????;???? ????????;2026;71;3;6058;0,63
CAF;5673;81;4385;89;4131;88;6015;85;631;74;7526;88;Afrique;République centraf.;Central African Republic;República Centroafricana;República Centro-Africana ;??????? ??????? ??????;?????? ??????? ?????;2026;72;-9;6015;-3,42
GUY;5958;76;4005;108;4899;57;585;92;6379;71;8656;63;Amériques;Guyana;Guyana;Guyana;Guiana ;??????;?????;2026;73;-3;6012;-0,54
SEN;5811;78;5445;59;4134;87;5925;88;6738;60;6813;100;Afrique;Sénégal;Senegal;Senegal;Senegal ;???????;?????;2026;74;-4;5943;-1,32
COM;6023;72;5064;72;4439;73;6136;81;6226;79;8252;83;Afrique;Comores;Comoros;Comoras;Comores ;??? ?????;?????;2026;75;3;5927;0,96
MWI;6096;69;4899;76;424;81;6327;74;667;62;8344;80;Afrique;Malawi;Malawi;Malaui;Malaui ;??????;??????;2026;76;7;592;1,76
CYP;5691;80;429;95;3967;97;5837;93;5495;105;8869;51;UE Balkans;Chypre;Cyprus;Chipre;Chipre ;????;????;2026;77;-3;5904;-2,13
PNG;6011;73;4875;77;4796;60;5412;106;6392;70;8581;67;Asie-Pacifique;Papouasie-NG;Papua New Guinea;Papúa Nueva Guinea;Papua-Nova Guiné ;????? ????? ???????;????? ???? ??;2026;78;5;5835;1,76
OMN;4367;127;3344;130;3533;124;2794;160;3712;149;8452;74;MENA;Oman;Oman;Omán;Omã ;????;????;2026;134;7;4229;1,38
ALB;5652;83;3656;121;3377;137;6663;64;6023;91;8539;70;UE Balkans;Albanie;Albania;Albania;Albânia ;???????;??????;2026;80;-3;5818;-1,66
BWA;6289;63;5401;61;4377;75;5852;91;7468;43;8348;79;Afrique;Botswana;Botswana;Botsuana;Botsuana ;????????;?????????;2026;81;18;5764;5,25
ZMB;5858;77;4427;88;3565;120;6389;71;6159;83;875;57;Afrique;Zambie;Zambia;Zambia;Zâmbia ;??????;??????;2026;82;5;5733;1,25
NER;4602;120;4201;100;3584;119;5156;110;5679;98;4389;137;Afrique;Niger;Niger;Niger;Níger ;??????;????;2026;83;-37;5705;-11,03
PRY;5467;88;3523;125;3075;154;6617;67;6093;86;8026;85;Amériques;Paraguay;Paraguay;Paraguay;Paraguai ;????????;????????;2026;84;-4;5684;-2,17
MNE;718;41;6025;45;5335;45;8153;24;7397;46;8991;42;UE Balkans;Monténégro;Montenegro;Montenegro;Montenegro ;????? ??????;??????????;2026;37;-4;7283;-1,03
BIH;5429;90;3956;110;3674;114;6763;62;5979;93;6774;102;UE Balkans;Bosnie-Herzégovine;Bosnia-Herzegovina;Bosnia-Herzegovina;Bósnia-Herzegóvina ;??????? ???????;????? ????????;2026;86;-4;5633;-2,04
ARG;5244;98;349;126;3185;148;6623;66;5412;106;7509;89;Amériques;Argentine;Argentina;Argentina;Argentina ;?????????;????????;2026;87;-11;5614;-3,7
MYS;5273;95;43;93;4028;92;4371;134;5125;116;8542;69;Asie-Pacifique;Malaisie;Malaysia;Malasia;Malásia ;???????;?????;2026;88;-7;5609;-3,36
GRC;5505;86;4299;94;3484;129;6382;73;4889;126;8473;72;UE Balkans;Grèce;Greece;Grecia;Grécia ;???????;?????;2026;89;3;5537;-0,32
NPL;548;87;5156;68;4733;62;6819;59;5696;97;4998;125;Asie-Pacifique;Népal;Nepal;Nepal;Nepal ;?????;????;2026;90;3;552;-0,4
CTU;5657;82;4686;81;3663;115;5921;89;5277;110;8736;59;UE Balkans;Chypre du Nord (Occupé);Northern Cyprus (Occupied);Chipre del Norte (Ocupado);Chipre do Norte (Occupado);???? ????????;???? ?????;2026;91;9;5484;1,73
BEN;4739;113;3981;109;3519;126;5037;114;6124;84;5036;123;Afrique;Bénin;Benin;Benín;Benim ;????;????;2026;92;-21;546;-7,21
BOL;5425;91;3739;117;3626;117;6224;80;6096;85;7441;92;Amériques;Bolivie;Bolivia;Bolivia;Bolívia ;???????;?????;2026;93;2;5409;0,16
ECU;4437;125;3712;119;3769;108;5545;101;502;121;4136;143;Amériques;Équateur;Ecuador;Ecuador;Equador ;?????????;???????;2026;94;-31;5376;-9,39
LAO;3254;154;2824;143;3115;151;2783;161;337;156;4175;142;Asie-Pacifique;Laos;Laos;Laos;Laos ;????;?????;2026;150;-4;3322;-0,68
KWT;4044;136;294;139;3647;116;3139;158;303;160;7465;91;MENA;Koweït;Kuwait;Kuwait;Kuwait ;??????;????;2026;128;-8;4406;-3,62
BRN;5258;96;4265;96;4544;68;3963;140;423;136;9286;23;Asie-Pacifique;Brunei;Brunei;Brunéi;Brunei ;??????;?????;2026;97;1;5347;-0,89
SWZ;5194;101;3906;114;3414;135;4393;133;6072;89;8185;84;Afrique;Swaziland;Eswatini;Esuatini;Eswatini ;????????;???????? ;2026;98;-3;5286;-0,92
XKX;5589;84;4905;75;4107;89;7228;48;6399;69;5307;118;UE Balkans;Kosovo;Kosovo;Kosovo;Kosovo ;??????;??????;2026;99;15;5273;3,16
AGO;4882;109;3544;124;2777;164;5076;113;5866;94;7145;94;Afrique;Angola;Angola;Angola;Angola ;??????;??????;2026;100;-9;5267;-3,85
MOZ;5227;99;405;104;4291;77;6473;70;6877;58;4445;135;Afrique;Mozambique;Mozambique;Mozambique;Moçambique ;???????;????????;2026;101;2;5263;-0,36
MNG;5579;85;4374;90;3937;100;6068;83;6521;64;6995;96;Asie-Pacifique;Mongolie;Mongolia;Mongolia;Mongólia ;???????;????????;2026;102;17;5257;3,22
GIN;4845;111;3279;131;4203;84;5688;97;6086;87;4968;126;Afrique;Guinée;Guinea;Guinea;Guiné ;?????;????;2026;103;-8;5253;-4,08
MDV;4923;108;3384;129;3015;157;4756;126;5088;118;8373;77;Asie-Pacifique;Maldives;Maldives;Maldivas;Maldivas ;????????;??????;2026;104;-4;5246;-3,23
BFA;4852;110;3815;116;4545;67;5688;98;6083;88;4128;144;Afrique;Burkina Faso;Burkina Faso;Burkina Faso;Burkina Faso ;??????? ????;???????????;2026;105;-5;5225;-3,73
ZWE;4437;124;3015;137;3546;122;5222;109;4992;123;5412;116;Afrique;Zimbabwe;Zimbabwe;Zimbabue;Zimbábue ;????????;????????;2026;106;-18;521;-7,73
LSO;5437;89;471;78;305;156;474;127;6225;80;8461;73;Afrique;Lesotho;Lesotho;Lesoto;Lesoto ;??????;??????;2026;107;18;5207;2,3
TCD;539;93;4213;99;4449;71;5602;100;6228;78;6458;105;Afrique;Tchad;Chad;Chad;Chade ;????;???;2026;108;15;5189;2,01
SSD;4616;118;3566;123;4063;91;5397;107;4874;127;5183;120;Afrique;Soudan du Sud;South Sudan;Sudán del Sur;Sudão do Sul ;??????? ???? ???????;????? ?????;2026;109;-9;5163;-5,47
GNB;5199;100;3895;115;3677;113;579;94;5203;113;7429;93;Afrique;Guinée-Bissau;Guinea-Bissau;Guinea-Bisáu;Guiné-Bissau ;????? ?????;???? ??????;2026;110;10;5136;0,63
HTI;5032;107;45;86;35;128;6243;79;6407;68;451;132;Amériques;Haïti;Haiti;Haití;Haiti ;?????;??????;2026;111;4;51061;-0,74
ISR;4646;116;4645;83;5102;54;3906;142;5353;109;4222;140;MENA;Israël;Israel;Israel;Israel ;???????;???????;2026;112;-4;51055;-4,6
MDG;5095;103;435;91;3522;125;5498;102;5652;101;6455;106;Afrique;Madagascar;Madagascar;Madagascar;Madagascar ;??????;??????????;2026;113;10;508;0,15
GEO;4077;135;2802;144;3446;132;4692;128;496;124;4485;134;EEAC;Géorgie;Georgia;Georgia;Geórgia ;??????;???????;2026;114;-21;5053;-9,76
COL;5166;102;4497;87;38;105;6928;55;5073;119;5532;114;Amériques;Colombie;Colombia;Colombia;Colômbia ;????????;??????;2026;115;13;498;1,86
PHL;4679;114;3919;113;345;131;492;118;5705;96;5403;117;Asie-Pacifique;Philippines;Philippines;Filipinas;Filipinas ;???????;??????;2026;116;2;4957;-2,78
KEN;5051;106;4021;107;344;133;549;103;5758;95;6546;104;Afrique;Kenya;Kenya;Kenia;Quênia ;?????;????;2026;117;11;4941;1,1
GNQ;5279;94;3627;122;3324;138;5688;99;5012;122;8745;58;Afrique;Guinée Équatoriale;Equatorial Guinea;Guinea Ecuatorial;Guiné Equatorial ;????? ??????????;???? ???????;2026;118;24;4868;4,11
MLI;4563;121;4023;106;4135;86;5483;104;5393;107;378;150;Afrique;Mali;Mali;Malí;Mali ;????;????;2026;119;-2;4823;-2,6
MAR;5055;105;4537;85;3511;127;5239;108;5092;117;6894;99;MENA;Maroc / Sahara occ.;Morocco / Western Sahara ;Marruecos / Sáhara Occidental;Marrocos / Saara Ocidental ;??????/??????? ???????;?????/????? ????;2026;120;15;4804;2,51
TGO;5256;97;3938;112;3745;111;4994;115;5997;92;7607;87;Afrique;Togo;Togo;Togo;Togo ;????;????;2026;121;24;4803;4,53
NGA;4811;112;4336;92;4265;78;5463;105;6207;81;3784;149;Afrique;Nigeria;Nigeria;Nigeria;Nigéria ;???????;??????;2026;122;10;4681;1,3
KOR;6912;47;5781;51;588;35;7471;42;6422;67;9008;40;Asie-Pacifique;Corée du Sud;South Korea;Corea del Sur;Coreia do Sul ;????? ????????;??? ?????;2026;61;14;6406;5,06
MEX;4523;122;4595;84;4012;94;5726;95;5149;115;3135;160;Amériques;Mexique;Mexico;México;México ;???????;?????;2026;124;2;4555;-0,32
BDI;4614;119;4045;105;3982;95;4832;123;4925;125;5286;119;Afrique;Burundi;Burundi;Burundi;Burundi ;???????;??????;2026;125;6;4544;0,7
DZA;3738;145;2203;157;2929;158;3689;146;4213;138;5659;113;MENA;Algérie;Algeria;Argelia;Argélia ;???????;???????;2026;126;-19;4464;-7,26
IDN;4302;129;2888;141;3079;153;4847;121;3901;144;6796;101;Asie-Pacifique;Indonésie;Indonesia;Indonesia;Indonésia ;?????????;???????;2026;127;-2;4413;-1,11
SRB;5079;104;2575;151;3436;134;6653;65;5065;120;7664;86;UE Balkans;Serbie;Serbia;Serbia;Sérvia ;?????;???????;2026;96;-8;5355;-2,76
TUN;4043;137;3065;135;3297;142;4323;135;4848;128;4683;129;MENA;Tunisie;Tunisia;Túnez;Tunísia ;????;????;2026;129;-8;4348;-3,05
PER;3786;144;2857;142;3216;145;4836;122;4318;133;3704;153;Amériques;Pérou;Peru;Peru;Peru ;????;???;2026;130;-14;4288;-5,02
CMR;4088;133;3691;120;3083;152;4674;129;5674;99;3317;157;Afrique;Cameroun;Cameroon;Camerún;Camarões ;?????????;??????;2026;131;-2;4275;-1,87
LBN;4649;115;4707;79;3296;143;499;116;4261;135;5993;111;MENA;Liban;Lebanon;Líbano;Líbano ;?????;?????;2026;132;17;4262;3,87
COD;4216;130;3944;111;3624;118;5113;111;5665;100;2734;166;Afrique;RD Congo;DR Congo;RD Congo;RD Congo;??????? ??????? ???????????;?????? ???????? ????;2026;133;3;4231;-0,15
BLR;2772;165;1307;171;3945;99;2202;167;3995;142;2411;168;EEAC;Bélarus;Belarus;Belarús;Bielorrússia ;????? ???????;????? ????;2026;166;1;2573;1,99
SLV;3888;143;2221;156;3846;103;4484;132;4385;132;4504;133;Amériques;Salvador;El Salvador;El Salvador;El Salvador ;?????????;???????????;2026;135;-8;4119;-2,31
SOM;4384;126;4221;98;4212;83;4283;136;5179;114;4027;147;Afrique;Somalie;Somalia;Somalia;Somália ;???????;??????;2026;136;10;4049;3,35
TJK;3222;155;1912;164;2795;163;375;144;3545;153;411;145;EEAC;Tadjikistan;Tajikistan;Tayikistán;Tajiquistão ;?????????;?????????;2026;153;-2;3221;0,01
GTM;4321;128;4157;102;379;106;5706;96;4177;139;3776;152;Amériques;Guatemala;Guatemala;Guatemala;Guatemala ;?????????;????????;2026;138;10;4032;2,89
LKA;4077;134;3733;118;3868;102;479;125;2992;161;5002;124;Asie-Pacifique;Sri Lanka;Sri Lanka;Sri Lanka;Sri Lanka ;??? ?????;????????;2026;139;5;3993;0,84
HKG;3949;140;2657;148;4258;79;3591;148;467;129;4571;131;Asie-Pacifique;Hong Kong;Hong Kong;Hong Kong;Hong Kong ;???? ????;??? ???;2026;140;0;3986;-0,37
TZA;4622;117;4164;101;3697;112;4872;120;5233;112;5147;121;Afrique;Tanzanie;Tanzania;Tanzania;Tanzânia ;???????;????????;2026;95;-22;5368;-7,46
HND;4102;132;3201;132;3557;121;457;131;4562;130;4619;130;Amériques;Honduras;Honduras;Honduras;Honduras ;???????;???????;2026;142;10;3851;2,51
UGA;4198;131;2721;146;3207;146;4217;137;4498;131;6349;108;Afrique;Ouganda;Uganda;Uganda;Uganda ;??????;???????;2026;143;12;3761;4,37
KGZ;3506;146;2232;155;3918;101;3761;143;414;140;3481;155;EEAC;Kirghizistan;Kyrgyzstan;Kirguistán;Quirguistão ;?????????;?????????;2026;144;-2;3746;-2,4
ETH;3466;148;2644;150;3484;130;4885;119;3626;150;2693;167;Afrique;Éthiopie;Ethiopia;Etiopía;Etiópia ;???????;??????;2026;145;-3;3692;-2,26
RWA;3958;139;2912;140;3316;139;4958;117;5235;111;3369;156;Afrique;Rwanda;Rwanda;Ruanda;Ruanda ;??????;?????;2026;146;7;3584;3,74
JOR;3933;142;2962;138;3312;140;3335;154;3847;145;621;109;MENA;Jordanie;Jordan;Jordania;Jordânia ;??????;????;2026;147;5;3525;4,08
UZB;3495;147;2513;152;3405;136;3983;138;3155;159;4417;136;EEAC;Ouzbékistan;Uzbekistan;Uzbekistán;Uzbequistão ;?????????;?????????;2026;148;1;3524;-0,29
BGD;3305;152;3109;134;3167;149;3438;151;376;148;3051;161;Asie-Pacifique;Bangladesh;Bangladesh;Bangladés;Bangladesh ;????????;???????;2026;149;-3;3371;-0,66
AFG;1951;175;2182;158;2728;165;1242;178;2055;175;1547;177;Asie-Pacifique;Afghanistan;Afghanistan;Afganistán;Afeganistão ;?????????;?????????;2026;175;0;1788;1,63
IND;3196;157;2116;160;3263;144;3959;141;3365;157;3277;158;Asie-Pacifique;Inde;India;India;Índia ;?????;???;2026;151;-6;3296;-1
BTN;335;150;3196;133;2428;168;1944;172;2106;173;7076;95;Asie-Pacifique;Bhoutan;Bhutan;Bután;Butão ;?????;?????;2026;152;2;3262;0,88
THA;5397;92;5358;63;4162;85;5078;112;5634;102;6755;103;Asie-Pacifique;Thaïlande;Thailand;Tailandia;Tailândia ;???????;??????;2026;85;-7;5672;-2,75
YEM;2789;164;2724;145;2213;172;3619;147;3203;158;2183;171;MENA;Yémen;Yemen;Yemen;Iêmen ;?????;???;2026;154;-10;3145;-3,56
IRQ;2885;162;2052;162;2374;169;3418;153;3561;152;302;162;MENA;Irak;Iraq;Irak;Iraque ;??????;????;2026;155;-7;3069;-1,84
SDN;2902;161;2656;149;2855;160;3219;156;3609;151;2171;172;Afrique;Soudan;Sudan;Sudán;Sudão ;???????;?????;2026;156;-5;3034;-1,32
BHR;2484;170;126;173;2252;171;22;168;2472;171;4239;139;MENA;Bahreïn;Bahrain;Baréin;Bahrein ;???????;?????;2026;157;-13;3024;-5,4
PAK;3261;153;2505;153;2821;161;3457;149;3444;155;4078;146;Asie-Pacifique;Pakistan;Pakistan;Pakistán;Paquistão ;???????;???????;2026;158;5;2962;2,99
