Low income,,,,,,,,,,,,,,,<= 480,<= 545,<= 580,<= 610,<= 635,<= 675,<= 695,<= 725,<= 765,<= 785,<= 785,<= 760,<= 755,<= 755,<= 745,<= 735,<= 765,<= 825,<= 875,<= 905,<= 935,<= 975,<= 995,"<= 1,005","<= 1,025","<= 1,035","<= 1,045","<= 1,045","<= 1,025","<= 1,005",<= 995,"<= 1,025","<= 1,035","<= 1,045","<= 1,085","<= 1,135","<= 1,145","<= 1,135","<= 1,175"
Lower middle income,,,,,,,,,,,,,,,"481-1,940","546-2,200","581-2,335","611-2,465","636-2,555","676-2,695","696-2,785","726-2,895","766-3,035","786-3,115","786-3,125","761-3,030","756-2,995","756-2,995","746-2,975","736-2,935","766-3,035","826-3,255","876-3,465","906-3,595","936-3,705","976-3,855","996-3,945","1,006-3,975","1,026-4,035","1,036-4,085","1,046-4,125","1,046-4,125","1,026-4,035","1,006-3,955","996-3,895","1,026-3,995","1,036 - 4,045","1,046 - 4,095","1,086 - 4,255","1,136-4,465","1,146-4,515","1,136-4,495","1,176 - 4,635"
Upper middle income,,,,,,,,,,,,,,,"1,941-6,000","2,201-6,000","2,336-6,000","2,466-7,620","2,556-7,910","2,696-8,355","2,786-8,625","2,896-8,955","3,036-9,385","3,116-9,645","3,126- 9,655","3,031-9,360","2,996-9,265","2,996-9,265","2,976-9,205","2,936-9,075","3,036-9,385","3,256-10,065","3,466-10,725","3,596-11,115","3,706-11,455","3,856-11,905","3,946-12,195","3,976-12,275","4,036-12,475","4,086-12,615","4,126-12,745","4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466-13,845","4,516-14,005","4,496-13,935","4,636 - 14,375"
High income,,,,,,,,,,,,,,,"> 6,000 ","> 6,000","> 6,000","> 7,620","> 7,910","> 8,355","> 8,625","> 8,955","> 9,385","> 9,645","> 9,655","> 9,360","> 9,265","> 9,265","> 9,205","> 9,075","> 9,385","> 10,065","> 10,725","> 11,115","> 11,455","> 11,905","> 12,195","> 12,275","> 12,475","> 12,615","> 12,745","> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845","> 14,005","> 13,935"," > 14,375"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/1  Granting civil works preference to eligible domestic contractors in evaluating civil works bids procured under international competitive bidding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"/2  Beginning in FY84, this is described in official documents as ""IDA Eligibility or 20-Year IBRD Terms""; since FY94, considered as the historical ceiling for IDA eligibility.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"/3  Beginning in FY84, this is described in official documents as ""17-Year IBRD Terms.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"/4  Beginning in FY94, this is described in official documents as ""15-Year IBRD Terms.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/5  Threshold for initiating the IBRD graduation process.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"/6  Beginning in FY94, implemented as the effective operational cutoff for IDA eligibility.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"/7  Beginning in FY09, the number of IBRD levels are reduced in accordance with the Memorandum to the Executive Directors dated January 17, 2008 (R2008-0007). Level II becomes the effective IDA eligibility threshold with the historic IDA eligibility threshold footnoted; Level III is described as ""IBRD terms""; Level IV becomes ""IBRD Graduation"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Atlas methodology is used to reduce the impact of exchange rate fluctuations in the cross-country comparison of national incomes. The Atlas conversion factor for any year is the average of a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"country's exchange rate for that year and its exchange rates for the two preceding years, adjusted for the differences between the rate of inflation in the country and that in China, Japan, the United Kingdom,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"the United States, and the Euro area). A country's inflation rate is measured by the change in its GDP deflator. The inflation rate for the above countries, representing international inflation, is",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"measured by the changes in the SDR deflator. (Special drawing rights, or SDRs, are the IMF's unit of account.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beginning in FY95, the Atlas methodology changed: international inflation as measured by the SDR deflator in US$ terms (see SecM94-661); previously it was measured by the U.S. GNP deflator.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In FY02, a change in terminology was made to be in line with the 1993 System of National Accounts (SNA); the definition of GNI per capita remains the same as the previously used gross national",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product (GNP) per capita. The country's inflation rate is measured by the change in its GDP deflator; previously the GNP deflator was used.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The World Bank's fiscal year is from July 1 to June 30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
